code_a,name_a,country_a,code_b,name_b,country_b,water_type,water_body,border_km,ne_cov,has_bridge,crossings,note
BIH002,Republika Srpska,Bosnia and Herzegovina,HRV019,Vukovar-srijem,Croatia,river,Sava,36.1,0.97,True,Most Gunja - Brčko; Vinkovci – Drenovci – DG; yes; Željeznički most Brčko - Gunja,osm
KEN038,Siaya,Kenya,UGA088,Namayingo,Uganda,lake,Lake Victoria,35.4,1.0,False,,huge-lake/knowledge
IRN001,Ardebil,Islamic Republic of Iran,AZE015,Fuzuli,Azerbaijan,river,Aras,33.7,0.98,False,,osm
NIC004,Chontales,Nicaragua,NIC006,Granada,Nicaragua,lake,Lago de Nicaragua,32.2,1.0,False,,huge-lake/knowledge
TZA016,Mara,Tanzania,UGA088,Namayingo,Uganda,lake,Lake Victoria,30.6,1.0,False,,huge-lake/knowledge
AFG004,Balkh,Afghanistan,TKM003,Chardzhou,Turkmenistan,river,Amu Darya,28.4,0.91,False,,osm
UGA040,Kalangala,Uganda,UGA109,Wakiso,Uganda,lake,Lake Victoria,27.9,1.0,False,,huge-lake/knowledge
MDA023,Nisporeni,Moldova,ROU025,Iaşi,Romania,river,Prut,26.6,1.0,False,,verified:no-open-bridge
ZAF005,Limpopo,South Africa,ZWE007,Masvingo,Zimbabwe,river,Limpopo,26.4,1.0,False,,osm
AZE033,Julfa,Azerbaijan,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,25.3,1.0,True,yes; پل آهنی جلفا,osm
HND015,Olancho,Honduras,NIC014,Región Autónoma del Caribe Norte,Nicaragua,river,Coco,22.5,1.0,False,,osm
JOR005,Irbid,Jordan,PSE015,Tubas,West Bank and Gaza,river,Jordan,22.0,1.0,False,,verified:no-open-bridge
MDA020,Hincesti,Moldova,ROU025,Iaşi,Romania,river,Prut,20.9,1.0,False,,verified:no-open-bridge
UGA040,Kalangala,Uganda,UGA100,Rakai,Uganda,lake,Lake Victoria,20.3,1.0,False,,huge-lake/knowledge
USA044,Texas,United States of America,MEX019,Nuevo León,Mexico,river,Rio Grande,18.9,1.0,True,Laredo-Colombia Solidarity International Bridge; Puente Internacional Colombia-Solidaridad; Puente Internacional Solidaridad-Colombia,osm
