ADM1_code_A,ADM1_name_A,country_A,ISO_A3_A,WB_region_A,ADM1_code_B,ADM1_name_B,country_B,ISO_A3_B,WB_region_B,cross_country,border_length_km,narrow_border,potential_artifact
ALB010,Gramsh,Albania,ALB,ECA,ALB007,Elbasan,Albania,ALB,ECA,False,44.1811,False,False
ALB010,Gramsh,Albania,ALB,ECA,ALB014,Korce,Albania,ALB,ECA,False,19.8371,False,False
ALB010,Gramsh,Albania,ALB,ECA,ALB020,Librazhd,Albania,ALB,ECA,False,9.0008,False,False
ALB010,Gramsh,Albania,ALB,ECA,ALB028,Pogradec,Albania,ALB,ECA,False,16.6862,False,False
ALB010,Gramsh,Albania,ALB,ECA,ALB032,Skrapar,Albania,ALB,ECA,False,14.7486,False,False
ALB011,Has,Albania,ALB,ECA,ALB017,Kukes,Albania,ALB,ECA,False,42.8919,False,False
ALB011,Has,Albania,ALB,ECA,ALB029,Puke,Albania,ALB,ECA,False,3.0883,True,False
ALB011,Has,Albania,ALB,ECA,ALB035,Tropoje,Albania,ALB,ECA,False,18.46,False,False
ALB011,Has,Albania,ALB,ECA,XKX002,Gjakovë,Kosovo,XKX,ECA,True,12.8098,False,False
ALB011,Has,Albania,ALB,ECA,XKX007,Prizren,Kosovo,XKX,ECA,True,11.8398,False,False
ALB012,Kavaje,Albania,ALB,ECA,ALB006,Durres,Albania,ALB,ECA,False,6.7777,False,False
ALB012,Kavaje,Albania,ALB,ECA,ALB021,Lushnje,Albania,ALB,ECA,False,32.0309,False,False
ALB012,Kavaje,Albania,ALB,ECA,ALB026,Peqin,Albania,ALB,ECA,False,13.2974,False,False
ALB012,Kavaje,Albania,ALB,ECA,ALB034,Tirane,Albania,ALB,ECA,False,25.5147,False,False
ALB013,Kolonje,Albania,ALB,ECA,ALB014,Korce,Albania,ALB,ECA,False,30.6396,False,False
ALB013,Kolonje,Albania,ALB,ECA,ALB027,Permet,Albania,ALB,ECA,False,52.3065,False,False
ALB013,Kolonje,Albania,ALB,ECA,GRC004,Dytiki Makedonia,Greece,GRC,Other,True,19.4328,False,False
ALB013,Kolonje,Albania,ALB,ECA,GRC006,Ipeiros,Greece,GRC,Other,True,34.0434,False,False
ALB014,Korce,Albania,ALB,ECA,GRC004,Dytiki Makedonia,Greece,GRC,Other,True,8.6851,False,False
ALB014,Korce,Albania,ALB,ECA,MKD003,Pelagonia,North Macedonia,MKD,ECA,True,14.6177,False,False
ALB014,Korce,Albania,ALB,ECA,MKD007,Southwest,North Macedonia,MKD,ECA,True,2.17,True,False
ALB015,Kruje,Albania,ALB,ECA,ALB006,Durres,Albania,ALB,ECA,False,16.7036,False,False
